Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
QCOM,-0.19168970665690727,-0.17598503183021513,-0.1596803305633791,-0.14488853971101234,-0.1294847575831043,-0.11830009896147003,-0.10086206589880037,-0.08861093459254993,-0.07887915698875253,-0.06606417080083987,-0.060046687625843864,-0.044793291480688446
CRM,-0.13662794975302828,-0.1311669272561608,-0.12502731915977577,-0.12013284573617145,-0.11500025766514427,-0.11222434863538966,-0.10598133910199492,-0.10290848035789973,-0.10002139557467088,-0.09471599358897131,-0.09386342283661486,-0.0873703370567544
SAP,-0.16849239544473632,-0.15734578676758293,-0.14516941494224728,-0.13359168988174874,-0.12163804668170902,-0.112952961882196,-0.09878173608805774,-0.08902346598877237,-0.08142545764259385,-0.07062823673810231,-0.06413287434562065,-0.05069827117119957
AAPL,-0.15804014898000063,-0.14633930176061427,-0.1342136733576162,-0.12295734255240842,-0.11131892087595363,-0.10262049246835914,-0.08932238710387674,-0.07955015724229153,-0.071771631605477,-0.06172629702312077,-0.05584199739490192,-0.04301094410653272
AMAT,-0.1474802854484249,-0.131971296877325,-0.11548324784305525,-0.10098468002632155,-0.08571161503641078,-0.0752784936468821,-0.05794648424410137,-0.04635190080953511,-0.0372764146859092,-0.0246015613813913,-0.019342846751704612,-0.004386768288035636
ADI,-0.1399581872655536,-0.1255507891309735,-0.11034897388466575,-0.09628830728342613,-0.08173959227760269,-0.07106341224813817,-0.05442349270798219,-0.04230197049745488,-0.03268505205287392,-0.020287086493799622,-0.013266330413187088,0.002367843411064885
CSCO,-0.10568338589540494,-0.09614249493554139,-0.08644455252570821,-0.07724830287912215,-0.06759519829347183,-0.06009784677165014,-0.04923246237137141,-0.04130373259465825,-0.034866877862630596,-0.026518780316262314,-0.021240821471537108,-0.010838739676684084
TSLA,-0.10693735047523761,-0.09512380498199846,-0.08298269883520754,-0.07160198715010918,-0.06052381514802274,-0.05191388631345806,-0.03891009659465905,-0.029518942952929283,-0.021442368102157272,-0.011501994867628373,-0.005949627974734417,0.006459015064450346
ADBE,-0.09282783311454662,-0.0834876246188222,-0.07346559300609473,-0.06397230029664586,-0.054376143889568185,-0.047171981517532824,-0.03582342819163842,-0.028401833571062074,-0.022140807086846903,-0.013326270623550684,-0.00830156932896342,0.0021491272501459324
ASML,-0.08728605241856391,-0.0773786676508822,-0.06668707441149818,-0.05655037696275195,-0.046119282433219555,-0.03829966330072371,-0.0255780610844224,-0.01625935876981821,-0.009038262657950935,0.0006484559001656565,0.006572154344982817,0.019426973385033575
