Solution,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
GOOGL,-0.25400407023189997,-0.25992014656863294,-0.26516032744317525,-0.27100542853801607,-0.27593408568149347,-0.2808262229669853,-0.2858967555775998,-0.29026999926059316,-0.2940619417566471,-0.29735389228952736,-0.30081329169534,-0.30424212781639504,-0.30666714382720717,-0.3092655388273913,-0.31134664871480805,-0.3138788997308349,-0.31549150129503256,-0.31782085699920015,-0.319759773676101,-0.32157994518917926,-0.3236385422050737,-0.3248423648949943,-0.3262705664388168,-0.32838419598128527,-0.33080759737324317,-0.333143016886289,-0.3353451929703687,-0.3378713831899323,-0.3400209589300748,-0.3426734357286746,-0.34503137305472653,-0.34739674773038914,-0.3504314158806924,-0.35326282593013936,-0.3561234238853114,-0.35846948816389385
NOW,-0.2516061421115014,-0.25617116472240187,-0.2606264993626097,-0.2646780594244356,-0.2688848788462789,-0.27174214576793554,-0.2744201163155011,-0.27779174257727923,-0.28096253405104876,-0.283553226926063,-0.28624337330455674,-0.28880554303497186,-0.2915256088816905,-0.29370268824953055,-0.29623643639472824,-0.29877451616399425,-0.30205024525086993,-0.30461218428422854,-0.3076821710974229,-0.31026521997324724,-0.31345241947109775,-0.3163157102091535,-0.3199971259914826,-0.3235599780398817,-0.3277082838049158,-0.33164733848043637,-0.3360317201442653,-0.3404621710454581,-0.3454437006892262,-0.349945131675882,-0.35458565379678786,-0.3593514525237131,-0.3636587199527743,-0.36879639847550655,-0.3728981023766923,-0.37867249167732503
SAP,-0.2589451347024771,-0.26118402426688936,-0.26350452740962893,-0.26617795622644863,-0.268958906216866,-0.2718851799520693,-0.2751018398981734,-0.27788804845579174,-0.28041498790626673,-0.2830416712218334,-0.2853961789606939,-0.28803230261063806,-0.29027205258803285,-0.29303117165532633,-0.29547524347513954,-0.2982581481286156,-0.30056563721748697,-0.3031123568975156,-0.3056239960809912,-0.3084557066853186,-0.31085894712866297,-0.3133350924307988,-0.3157535130123072,-0.3181864680490947,-0.32060856544278793,-0.3233656320170645,-0.3256862850007306,-0.3282866741285098,-0.3310406320230799,-0.33404545181892464,-0.3368256651138337,-0.33946563044670575,-0.34233957118685693,-0.3455593781499959,-0.34879834072933436,-0.35194932927702155
CRM,-0.23105960708926881,-0.23709081424968648,-0.243333909786088,-0.24903688614595426,-0.2542089018012518,-0.25904049084238356,-0.26368331023152797,-0.2674959434239872,-0.2714066242476897,-0.2742474019147986,-0.27661430945702314,-0.2791361366567493,-0.28133853392947955,-0.2834620839203351,-0.28607629913392285,-0.28825309461986925,-0.2909989969558777,-0.29433403812409775,-0.29823888957828715,-0.3018021478339251,-0.30507448258202824,-0.30847543576677894,-0.31230621042789214,-0.31646347906368366,-0.32129320438972053,-0.32583149220187935,-0.33101225287146585,-0.3357455859264926,-0.3409887529126532,-0.34640550531205005,-0.35183553291536207,-0.35692378537098285,-0.36295257399913305,-0.36859997553846074,-0.3730660360413509,-0.3787009616661811
QCOM,-0.2795659805601877,-0.2788613241375754,-0.27832251918188833,-0.2778744581070425,-0.27745609721534625,-0.27725803270037536,-0.27712557871156296,-0.2771196249047956,-0.2770680964835438,-0.27709670116764,-0.27697610106860765,-0.2773815665436101,-0.27754900496082163,-0.2778524727780344,-0.27792069170939315,-0.27836525528107364,-0.2785814678586775,-0.2786607378521697,-0.27881863012084235,-0.27930554110043604,-0.27967656441156513,-0.2805077407776444,-0.2810010586487653,-0.2815019706887323,-0.28222605579466575,-0.28307472468782846,-0.28398968338643793,-0.2851034807242296,-0.28639510832441817,-0.28834793946954296,-0.29003141773885466,-0.2916173399445348,-0.2932916987507302,-0.29545667666993425,-0.2978656806440372,-0.29972862181049875
AAPL,-0.24970980706207763,-0.2516310843800001,-0.25371095013464956,-0.25603359750994265,-0.25811322705312734,-0.2601665870234681,-0.2621847554304686,-0.26405663614914887,-0.2658337958552819,-0.2675973974504719,-0.2691978894120176,-0.27098698371355245,-0.2724819599964912,-0.2740550622208646,-0.27538491927433184,-0.27696326799809423,-0.27803250772385457,-0.2791396018813167,-0.28027068071693434,-0.2812598499995826,-0.28214747594286,-0.2829469478854344,-0.2837673950362108,-0.28468185491336434,-0.2858159709721627,-0.28709507357761643,-0.2882153413409754,-0.28960216195722915,-0.29082834241565914,-0.29216285034465184,-0.29331833556974296,-0.29449961503661115,-0.2957041733332809,-0.2970729008030448,-0.29843847319479755,-0.2998172788115518
CSCO,-0.20272686872213458,-0.20609118435759438,-0.20969672791868088,-0.21289082455661806,-0.21663063262312235,-0.21945733000714762,-0.2221516563929415,-0.22489730764259622,-0.22813932138167567,-0.23151303438401122,-0.2347826604364177,-0.2380695079412509,-0.24189959141249462,-0.2455917740362225,-0.24963328587777833,-0.25395479653300407,-0.25830598983115843,-0.26260012559867363,-0.2672468638459141,-0.27127890086356476,-0.2754526012683351,-0.27968631457380067,-0.2842784012698914,-0.2887005599925935,-0.29405136428217404,-0.29929111930187285,-0.30472113741872286,-0.31022610841670073,-0.3160771056917932,-0.3217292136963639,-0.3269369401424439,-0.33279089944850676,-0.3379401469451078,-0.3441018638955471,-0.3496791429613775,-0.3560249180358435
TSLA,-0.20428015510996328,-0.20608306726838854,-0.20830782520197583,-0.21098833859983285,-0.21346851696927574,-0.21628221593932473,-0.2192613138789432,-0.2220145749873513,-0.22440926641516404,-0.22698774884662637,-0.2296806369210182,-0.23260356671587543,-0.23545553097540667,-0.23861992819446082,-0.24148114099451418,-0.24459707543335651,-0.2470441576394775,-0.2500391020515935,-0.2533396842113262,-0.25648456019682264,-0.25944249050832247,-0.26256545545460097,-0.26567882423520933,-0.26875635605777026,-0.27152360000594555,-0.2748258926911922,-0.27744865202946933,-0.280608945927227,-0.2836174189313976,-0.28619851926258666,-0.289092262419824,-0.2920645542919955,-0.2948102663847548,-0.2979812593637455,-0.3007164830204405,-0.30400557546530843
ADBE,-0.19116049737561208,-0.19532269136946012,-0.19870608747445384,-0.20296544207075518,-0.20598840653582354,-0.20972604118923793,-0.21342214717208174,-0.21644075055145565,-0.21926395926098882,-0.22196817948845138,-0.22448822123777595,-0.22767293361252447,-0.23000816582500672,-0.23268305727287697,-0.23471817416148633,-0.23727608569359693,-0.2392432732111694,-0.24199619743614775,-0.24456425746153565,-0.24742658393526795,-0.2503073022782776,-0.25304433451939623,-0.2553611434269793,-0.2584686084158075,-0.26123998858311104,-0.2642631540071681,-0.26675448379357825,-0.2699809532427309,-0.27214297272921517,-0.27575824092312073,-0.27934518682950094,-0.282463169005843,-0.2857937514351981,-0.28893037700341756,-0.2924899647320245,-0.2954072565974497
ASML,-0.18700580075479478,-0.19074984592054578,-0.1945063629446942,-0.1986090145729833,-0.20311231621574052,-0.2070691872258667,-0.21109396279047948,-0.2146712850609754,-0.21839050180818773,-0.22209600534308427,-0.22525269600597836,-0.2282918086173105,-0.23114367841632677,-0.2343372527960192,-0.23734473549966756,-0.23970726676716364,-0.24228593538341414,-0.24420034181839778,-0.24632961980920243,-0.24845456761548423,-0.2502671874015235,-0.2520712988564505,-0.2540540493409802,-0.2558583695151736,-0.2578034756800821,-0.25996168851242113,-0.26210465799808313,-0.264408936940924,-0.26701182782249716,-0.2700418681212056,-0.27294209370267286,-0.2759230095421841,-0.27852053037264424,-0.28154842136081715,-0.2845236055488459,-0.2882259576334401
