Iter,hps,sum,rrse,rrae,corr,smape,valid rse,valid r2,valid mase,valid smape,valid mape,valid mse,valid mae,valid rmse,valid rae,valid hist_rse,valid global_rse,valid corr,test rse,test r2,test mase,test smape,test mape,test mse,test mae,test rmse,test rae,test hist_rse,test global_rse,test corr,best_epoch
23,"[2, 0.0005, 12, 16, 24, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.5279925,1.5279925,1.516092,0.40008307,0.017006772,1.5279925,-2.4084945,0.541286,0.017006772,0.034115728,0.026692748,0.1187356,0.149060,1.516092,0.150010,1.312009,0.40008307,1.3468909,-1.6187507,0.678054,0.01769472,0.03505691,0.04246676,0.14560956,0.180977,1.3090743,0.193006,1.187202,0.5841684,25
24,"[2, 0.0005, 12, 8, 16, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.5737817,1.5737817,1.5679069,0.3992577,0.01700142,1.5737817,-2.6685455,0.544489,0.01700142,0.034246024,0.027122008,0.11984175,0.150276,1.5679069,0.150921,1.322517,0.3992577,1.3636508,-1.8398145,0.657372,0.017257517,0.03437657,0.039864298,0.14041726,0.176434,1.3117831,0.189583,1.150250,0.58111006,22
25,"[2, 0.0005, 12, 16, 24, 48, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.5221897,1.5221897,1.524823,0.3949295,0.017468547,1.5221897,-2.9158938,0.545226,0.017468547,0.033850238,0.027926477,0.12099542,0.152660,1.524823,0.151856,1.341987,0.3949295,1.372767,-1.686779,0.701805,0.018347058,0.03628687,0.045579154,0.15102102,0.187152,1.3300806,0.199405,1.229938,0.58688545,32
26,"[1, 0.0005, 12, 8, 16, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.4680861,1.4680861,1.4837636,0.41224444,0.0170779,1.4680861,-2.0688105,0.533358,0.0170779,0.03405433,0.025744943,0.11732936,0.146080,1.4837636,0.147312,1.288505,0.41224444,1.3430926,-1.6727659,0.675663,0.017726265,0.035114124,0.042428866,0.14369342,0.179032,1.3107795,0.192588,1.186673,0.5867868,22
27,"[1, 0.0005, 12, 16, 16, 48, 15, 0.6, 1, 20, 0.1, 3, 3, True]",1.5067044,1.5067044,1.5129689,0.40079358,0.01749171,1.5067044,-2.38462,0.548490,0.01749171,0.035112157,0.026974179,0.12093658,0.149620,1.5129689,0.150579,1.318908,0.40079358,1.3579675,-1.6638166,0.691231,0.018063689,0.035777494,0.043834284,0.14787763,0.183088,1.3178767,0.195876,1.206166,0.58323985,25
28,"[1, 0.0008, 12, 12, 16, 48, 20, 0.4, 1, 30, 0.05, 0.1, 3, True]",1.5068434,1.5068434,1.4979993,0.40406135,0.016600685,1.5068434,-2.9518435,0.546612,0.016600685,0.0339317,0.028241761,0.12159266,0.152898,1.4979993,0.151941,1.349541,0.40406135,1.3097227,-1.4267039,0.663667,0.01723214,0.034091037,0.041394927,0.14322023,0.178500,1.262036,0.190094,1.172125,0.58997756,22
29,"[1, 0.0005, 12, 8, 16, 48, 7, 0.6, 1, 20, 0.2, 1, 3, True]",1.5535609,1.5535609,1.5481337,0.40915492,0.016952293,1.5535609,-2.7072918,0.540961,0.016952293,0.034235552,0.026716225,0.11865889,0.148076,1.5481337,0.149314,1.312586,0.40915492,1.3362552,-1.7318289,0.654306,0.01710755,0.034046795,0.039193526,0.1397547,0.174067,1.2891599,0.186769,1.140532,0.6021889,27
30,"[1, 0.0005, 12, 8, 16, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.5316665,1.5316665,1.5255281,0.40188217,0.016855888,1.5316665,-2.5881102,0.538519,0.016855888,0.03411877,0.026733931,0.11894052,0.149180,1.5255281,0.149419,1.313021,0.40188217,1.3476245,-1.7357532,0.656350,0.017207135,0.03420441,0.040343855,0.14004365,0.176733,1.2971222,0.189409,1.157148,0.5871493,30
31,"[2, 0.0005, 12, 8, 24, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.5634797,1.5634797,1.5318049,0.39101586,0.017606808,1.5634797,-2.680316,0.549529,0.017606808,0.03459622,0.028696995,0.122071296,0.154689,1.5318049,0.154145,1.360375,0.39101586,1.370641,-1.650277,0.693397,0.01803388,0.035678733,0.045165326,0.14955647,0.186873,1.3097384,0.198565,1.224342,0.5769185,26
32,"[1, 0.0005, 12, 8, 16, 48, 7, 0.6, 1, 20, 0.2, 3, 3, True]",1.5897393,1.5897393,1.586192,0.39184508,0.018183146,1.5897393,-2.8485198,0.559073,0.018183146,0.036065597,0.029296527,0.12432374,0.155785,1.586192,0.154798,1.374511,0.39184508,1.4757953,-2.4519303,0.705504,0.01877853,0.037502933,0.043356434,0.15122344,0.186256,1.4314492,0.198567,1.199574,0.5587688,22
33,"[2, 0.0005, 12, 8, 24, 48, 20, 0.6, 1, 20, 0.2, 3, 3, True]",1.4696522,1.4696522,1.4686304,0.41042054,0.017530007,1.4696522,-2.4968863,0.548419,0.017530007,0.035019983,0.027923213,0.12213111,0.152821,1.4686304,0.152478,1.341909,0.41042054,1.3909537,-1.7893084,0.704452,0.01844133,0.036392994,0.047947634,0.15084408,0.189761,1.3482645,0.202580,1.261490,0.55939394,22
34,"[2, 0.0003, 12, 8, 16, 48, 20, 0.6, 1, 20, 0.2, 3, 3, True]",1.4950079,1.4950079,1.4937822,0.42346498,0.017258054,1.4950079,-2.2705452,0.540667,0.017258054,0.03476875,0.026680889,0.11860689,0.148413,1.4937822,0.149523,1.311718,0.42346498,1.3788221,-1.8496917,0.686037,0.01798344,0.035641573,0.044024985,0.14644675,0.182931,1.3401885,0.196356,1.208787,0.5772373,28
35,"[2, 0.0005, 8, 8, 16, 64, 20, 0.6, 1, 64, 0.05, 1, 3, True]",1.5344698,1.5344698,1.5254802,0.39524645,0.016927557,1.5344698,-2.5357444,0.542689,0.016927557,0.034175083,0.027241375,0.119498976,0.150764,1.5254802,0.150981,1.325424,0.39524645,1.3720142,-1.7297752,0.676034,0.01771554,0.03511177,0.04328281,0.14512427,0.183269,1.3188897,0.195686,1.198555,0.5678284,24
36,"[1, 0.0003, 12, 8, 24, 48, 20, 0.5, 1, 30, 0.2, 0.1, 3, True]",1.5446599,1.5446599,1.5318493,0.40905985,0.016852085,1.5446599,-2.5837934,0.536642,0.016852085,0.034086652,0.026298778,0.1176357,0.147236,1.5318493,0.148681,1.302291,0.40905985,1.3459315,-1.8271283,0.652369,0.0170597,0.033998504,0.03842151,0.13910057,0.172813,1.3002293,0.185556,1.129243,0.6030778,33
37,"[2, 0.0005, 12, 16, 32, 64, 15, 0.6, 1, 20, 0.1, 3, 2, True]",1.5534265,1.5534265,1.5470779,0.3969512,0.017010462,1.5534265,-2.5563173,0.538654,0.017010462,0.034285758,0.026798034,0.11883388,0.149227,1.5470779,0.149882,1.314594,0.3969512,1.3476739,-1.7595,0.661003,0.017297493,0.03441153,0.039991256,0.14099932,0.175953,1.305446,0.188785,1.152080,0.5933804,22
38,"[1, 0.0008, 8, 12, 16, 48, 20, 0.5, 1, 64, 0.2, 1, 3, True]",1.5293918,1.5293918,1.5021461,0.3863388,0.016996259,1.5293918,-2.4714906,0.539062,0.016996259,0.033956278,0.026979666,0.1186438,0.149917,1.5021461,0.150698,1.319042,0.3863388,1.3455033,-1.5528888,0.674484,0.017525822,0.034660004,0.043610297,0.14493743,0.183412,1.2856683,0.195129,1.203081,0.5733276,27
39,"[2, 0.0003, 12, 8, 32, 48, 5, 0.4, 1, 20, 0.05, 0.1, 2, True]",1.596484,1.596484,1.5813725,0.37893525,0.017299557,1.596484,-2.824301,0.554435,0.017299557,0.03473761,0.02851284,0.122717164,0.155190,1.5813725,0.154664,1.356003,0.37893525,1.3668818,-1.6677203,0.672602,0.01765703,0.03499896,0.0436128,0.14567308,0.184663,1.2999176,0.195909,1.203115,0.57023644,43
40,"[1, 0.0005, 8, 8, 24, 64, 20, 0.6, 1, 30, 0.2, 3, 3, True]",1.5543041,1.5543041,1.5441972,0.40082747,0.017086446,1.5543041,-2.5568469,0.543128,0.017086446,0.034145996,0.02736805,0.11960659,0.150365,1.5441972,0.150776,1.328502,0.40082747,1.3342957,-1.5304736,0.676688,0.017578235,0.03481433,0.04247217,0.14630826,0.181258,1.2814536,0.192431,1.187278,0.5893591,22
41,"[2, 0.0003, 12, 8, 16, 48, 20, 0.6, 1, 20, 0.2, 3, 3, True]",1.4629337,1.4629337,1.462943,0.43723103,0.017493047,1.4629337,-2.0341113,0.541001,0.017493047,0.03476418,0.027039964,0.119231775,0.148704,1.462943,0.149796,1.320515,0.43723103,1.3938508,-1.8837193,0.706103,0.018485494,0.03655864,0.046019394,0.15061359,0.186475,1.3513714,0.199916,1.235864,0.5785561,26
42,"[2, 0.0003, 12, 8, 16, 48, 20, 0.6, 1, 20, 0.2, 3, 3, True]",1.5265539,1.5265539,1.517764,0.4046337,0.017079223,1.5265539,-2.4852722,0.539194,0.017079223,0.034348782,0.02670603,0.118814684,0.149854,1.517764,0.150799,1.312336,0.4046337,1.3853469,-1.8519919,0.679347,0.017860603,0.035399,0.043787815,0.14523914,0.183230,1.3332518,0.196494,1.205527,0.56794435,60
43,"[2, 0.0003, 12, 8, 16, 48, 20, 0.6, 1, 20, 0.2, 3, 3, True]",1.557631,1.557631,1.5614414,0.4054412,0.016956607,1.557631,-2.644994,0.541510,0.016956607,0.034133695,0.026531124,0.11884241,0.147888,1.5614414,0.149141,1.308031,0.4054412,1.3580399,-1.8388863,0.656147,0.017267007,0.034405563,0.03937445,0.14023356,0.175196,1.3147014,0.187865,1.143161,0.59326524,25
44,"[2, 0.0003, 12, 8, 16, 32, 20, 0.5, 1, 10, 0.2, 3, 2, True]",1.6011009,1.6011009,1.5648898,0.38116112,0.017748022,1.6011009,-2.6793897,0.553887,0.017748022,0.035290577,0.029473843,0.123197876,0.157280,1.5648898,0.156650,1.378665,0.38116112,1.5002277,-2.388074,0.705533,0.018646698,0.037023786,0.04810816,0.15206975,0.195502,1.3920411,0.207807,1.263600,0.5310153,67
45,"[2, 0.0003, 12, 12, 32, 48, 15, 0.6, 1, 20, 0.2, 3, 3, True]",1.5360888,1.5360888,1.5371635,0.40052694,0.016827017,1.5360888,-2.4291034,0.539741,0.016827017,0.033752695,0.026090808,0.1179372,0.147541,1.5371635,0.149329,1.297132,0.40052694,1.3310834,-1.6297282,0.655422,0.017114194,0.034001242,0.040427167,0.1403351,0.176539,1.2849228,0.189083,1.158342,0.58902293,27
46,"[2, 0.0008, 8, 8, 24, 48, 20, 0.6, 1, 64, 0.2, 0.1, 3, True]",1.5583571,1.5583571,1.5422246,0.39060035,0.016720822,1.5583571,-2.761048,0.542312,0.016720822,0.03396304,0.027443504,0.1194242,0.150853,1.5422246,0.151614,1.330332,0.39060035,1.3341931,-1.613545,0.657712,0.01714746,0.034009025,0.041211534,0.14096919,0.177976,1.2794408,0.190509,1.169525,0.58402264,21
47,"[1, 0.0005, 12, 8, 16, 48, 5, 0.4, 1, 40, 0.05, 1, 3, True]",1.5740771,1.5740771,1.5658585,0.39818633,0.016921282,1.5740771,-2.7633631,0.549457,0.016921282,0.03425626,0.02748936,0.12089692,0.151125,1.5658585,0.151553,1.331443,0.39818633,1.3567485,-1.8062099,0.655523,0.017154789,0.03418678,0.03985479,0.14078659,0.176702,1.3052856,0.189028,1.150113,0.5906529,24
48,"[2, 0.0003, 12, 16, 24, 32, 9, 0.6, 1, 20, 0.2, 3, 2, True]",1.6149857,1.6149857,1.6177337,0.38914016,0.017584216,1.6149857,-2.8393717,0.557582,0.017584216,0.03553722,0.028306743,0.12363765,0.153229,1.6177337,0.153002,1.351093,0.38914016,1.4235346,-2.204157,0.670787,0.017839253,0.035669547,0.040010538,0.14393759,0.178739,1.3820585,0.190876,1.152358,0.57504886,36
49,"[2, 0.0005, 12, 8, 16, 64, 7, 0.6, 1, 20, 0.1, 3, 3, True]",1.5292957,1.5292957,1.5062162,0.35460502,0.017023144,1.5292957,-2.424328,0.548310,0.017023144,0.03406403,0.028640755,0.12108237,0.155542,1.5062162,0.155071,1.359041,0.35460502,1.3575189,-1.4915185,0.687452,0.017844493,0.035179093,0.04829959,0.1480669,0.191586,1.2907753,0.203684,1.266111,0.5468058,22
50,"[2, 0.0005, 12, 12, 24, 48, 5, 0.5, 1, 10, 0.2, 3, 3, True]",1.4824961,1.4824961,1.4828498,0.40661156,0.016745145,1.4824961,-2.1894765,0.531762,0.016745145,0.033581678,0.025453996,0.11663718,0.145448,1.4828498,0.146709,1.281204,0.40661156,1.3304454,-1.5983735,0.667505,0.01737218,0.034425043,0.04171935,0.1421031,0.178033,1.2850863,0.191348,1.176709,0.588314,24
51,"[2, 0.0005, 12, 12, 24, 48, 5, 0.5, 1, 10, 0.2, 3, 3, True]",1.57255,1.57255,1.5502148,0.38693035,0.017113889,1.57255,-2.6513982,0.546634,0.017113889,0.03425448,0.027762897,0.12042647,0.152511,1.5502148,0.152919,1.338051,0.38693035,1.3730485,-1.731979,0.673704,0.01768,0.035079442,0.042707935,0.14519145,0.183072,1.3094832,0.194494,1.190569,0.5747897,24
52,"[2, 0.0005, 12, 12, 24, 48, 5, 0.5, 1, 10, 0.2, 3, 3, True]",1.5761058,1.5761058,1.5565277,0.39720875,0.01679548,1.5761058,-2.702841,0.540969,0.01679548,0.033863194,0.027223503,0.11900192,0.150644,1.5565277,0.151361,1.324989,0.39720875,1.3712393,-1.8645558,0.655953,0.017205747,0.034286276,0.040906712,0.14009422,0.178767,1.3041033,0.191538,1.165192,0.58625185,22
