Iter	hps	sum	rrse	rrae	corr	smape	valid rse	valid r2	valid mase	valid smape	valid mape	valid mse	valid mae	valid rmse	valid rae	valid hist_rse	valid global_rse	valid corr	test rse	test r2	test mase	test smape	test mape	test mse	test mae	test rmse	test rae	test hist_rse	test global_rse	test corr	best_epoch
23	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4834327	1.4834327	1.4702362	0.56225073	0.024814602	1.4834327	-1.9872658	0.424562	0.024814602	0.049215008	0.06697137	0.17959061	0.225411	1.4702362	0.216913	2.022486	0.56225073	1.5852549	-2.856503	0.503895	0.025983108	0.05189818	0.076928735	0.1976706	0.256171	1.623743	0.264803	1.830258	0.43721583	34
24	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5080674	1.5080674	1.5004514	0.5722876	0.024817826	1.5080674	-2.1791131	0.432527	0.024817826	0.049866464	0.06784297	0.18215741	0.229165	1.5004514	0.221309	2.035604	0.5722876	1.5684228	-2.6624932	0.508804	0.02588283	0.051476542	0.07955425	0.19993041	0.260134	1.6001173	0.267920	1.861229	0.43111953	18
25	[2, 0.0005, 8, 8, 16, 64, 20, 0.4, 1, 10, 0.1, 0.1, 3, True]	1.5302429	1.5302429	1.5183537	0.53202987	0.025279956	1.5302429	-2.1122327	0.432652	0.025279956	0.050149657	0.066307165	0.18153045	0.227492	1.5183537	0.220250	2.012431	0.53202987	1.6230346	-3.0542724	0.511494	0.026400646	0.052883845	0.08006922	0.20160985	0.262375	1.6573148	0.269171	1.867243	0.41732895	32
26	[2, 0.0005, 8, 16, 32, 64, 9, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5200292	1.5200292	1.4961284	0.5369312	0.02519038	1.5200292	-2.5197363	0.438575	0.02519038	0.050706882	0.07153788	0.186048	0.233078	1.4961284	0.224382	2.090301	0.5369312	1.642937	-2.9328876	0.526900	0.026736764	0.053528443	0.092453465	0.21237946	0.276388	1.6722573	0.277866	2.006456	0.3921627	58
27	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.5152543	1.5152543	1.4940594	0.5312938	0.025055697	1.5152543	-2.2144554	0.431910	0.025055697	0.050164666	0.06813142	0.18173334	0.229329	1.4940594	0.220353	2.039927	0.5312938	1.6038601	-2.972832	0.509762	0.026520263	0.05324035	0.07914245	0.20043679	0.260514	1.6360003	0.270028	1.856405	0.43261167	15
28	[2, 0.0003, 12, 8, 24, 48, 5, 0.5, 1, 64, 0.05, 1, 3, True]	1.4742948	1.4742948	1.4454805	0.5226474	0.025414215	1.4742948	-1.8172085	0.427159	0.025414215	0.049784604	0.07008861	0.18059383	0.227440	1.4454805	0.218415	2.069019	0.5226474	1.5791321	-2.612723	0.519858	0.026752176	0.053028278	0.08422803	0.20398714	0.267520	1.6018361	0.277335	1.915122	0.39858103	34
29	[1, 0.0008, 12, 8, 16, 64, 5, 0.4, 1, 20, 0.1, 3, 3, True]	1.4983234	1.4983234	1.4710182	0.54187876	0.024843553	1.4983234	-2.279045	0.432180	0.024843553	0.049960013	0.067810796	0.18230517	0.229271	1.4710182	0.221012	2.035121	0.54187876	1.6019168	-2.896534	0.506720	0.026033303	0.052010722	0.079008706	0.19965976	0.260588	1.6245975	0.267996	1.854836	0.42249984	23
30	[2, 0.0005, 8, 16, 24, 64, 7, 0.5, 1, 10, 0.1, 3, 3, True]	1.5047885	1.5047885	1.5007403	0.552169	0.025105713	1.5047885	-2.2712355	0.434086	0.025105713	0.050220992	0.06896093	0.18354507	0.229106	1.5007403	0.220907	2.052307	0.552169	1.5663009	-2.7022088	0.500250	0.025667245	0.051135372	0.076172404	0.19715351	0.255766	1.6032026	0.262653	1.821239	0.44830242	20
31	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.4978408	1.4978408	1.4803023	0.54888207	0.024942217	1.4978408	-2.1427484	0.430338	0.024942217	0.049745325	0.067380525	0.18063378	0.226788	1.4803023	0.219919	2.028654	0.54888207	1.6102635	-2.9285161	0.508963	0.026048427	0.052122347	0.080128744	0.20091909	0.262012	1.6398014	0.268560	1.867937	0.42985997	45
32	[2, 0.0005, 8, 8, 32, 64, 5, 0.5, 1, 64, 0.2, 0.1, 3, True]	1.456869	1.456869	1.4508674	0.53983873	0.025084145	1.456869	-1.9079221	0.424856	0.025084145	0.04944775	0.06740617	0.17878747	0.223889	1.4508674	0.216131	2.029040	0.53983873	1.5714949	-2.5865893	0.513989	0.026515326	0.052682664	0.08151264	0.20307735	0.264167	1.6069863	0.272527	1.883998	0.41962174	24
